experiment,video_id,class,policy,policy_slug,seed,top_k,offset_row,offset_col,sigma,epsilon,delta,cover,raw_errshare,inc_errshare,raw_psnr,incremental_psnr
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,RAT+traj,rat_traj,2,20,,,103.175943963,8.000000000,0.000100000,0.397266924,0.369760438,0.362590422,14.137108226,14.408233421
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Motion-reference,motion_reference,2,20,,,103.175943963,8.000000000,0.000100000,0.852662603,0.823779717,0.840001794,14.391700006,14.678716058
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Random,random,2,20,,,103.175943963,8.000000000,0.000100000,0.103680538,0.105277914,0.085768274,13.710118486,13.898592863
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Shifted-RAT+traj,shifted_rat_traj_r3_c4,2,20,3,4,103.175943963,8.000000000,0.000100000,0.074650614,0.086918978,0.064603905,14.189404184,14.390392532
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,RAT-fusion,rat_fusion,2,20,,,103.175943963,8.000000000,0.000100000,0.429826732,0.402175909,0.394983499,14.169031286,14.457306446
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Shifted-RAT-fusion,shifted_rat_fusion_r3_c4,2,20,3,4,103.175943963,8.000000000,0.000100000,0.054497078,0.071872058,0.049557857,13.976762601,14.185756678
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,VideoMAE-only,videomae_only,2,20,,,103.175943963,8.000000000,0.000100000,0.000000000,0.020912616,0.000470378,13.226578225,13.427558022
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,RAT+traj,rat_traj,3,20,,,103.175943963,8.000000000,0.000100000,0.397400039,0.369547258,0.360736423,14.084766352,14.362211803
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Motion-reference,motion_reference,3,20,,,103.175943963,8.000000000,0.000100000,0.852662603,0.823954495,0.840876702,14.345350489,14.637896163
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Random,random,3,20,,,103.175943963,8.000000000,0.000100000,0.100678414,0.103755266,0.084458475,13.711972732,13.902943198
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Shifted-RAT+traj,shifted_rat_traj_r3_c4,3,20,3,4,103.175943963,8.000000000,0.000100000,0.075928513,0.093691343,0.071706802,14.139443500,14.348590083
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,RAT-fusion,rat_fusion,3,20,,,103.175943963,8.000000000,0.000100000,0.429826732,0.406422909,0.399489383,14.184106832,14.473841522
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Shifted-RAT-fusion,shifted_rat_fusion_r3_c4,3,20,3,4,103.175943963,8.000000000,0.000100000,0.054497078,0.070874999,0.048657697,13.961775572,14.168720349
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,VideoMAE-only,videomae_only,3,20,,,103.175943963,8.000000000,0.000100000,0.000000000,0.020889745,0.000468180,13.225829593,13.431792642
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,RAT+traj,rat_traj,4,20,,,103.175943963,8.000000000,0.000100000,0.395829288,0.368281617,0.360392661,14.019558636,14.302842847
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Motion-reference,motion_reference,4,20,,,103.175943963,8.000000000,0.000100000,0.852662603,0.833722795,0.853785058,14.336339295,14.625054950
