video_id,policy,n_seeds,cover_mean,cover_std,cover_min,cover_max,raw_errshare_mean,raw_errshare_std,raw_errshare_min,raw_errshare_max,inc_errshare_mean,inc_errshare_std,inc_errshare_min,inc_errshare_max
Basketball_v_Basketball_g03_c01,Motion-reference,10,0.698083,0.000000,0.698083,0.698083,0.639159,0.003432,0.633857,0.646562,0.700273,0.003044,0.695698,0.707092
Basketball_v_Basketball_g03_c01,RAT+traj,10,0.359502,0.010337,0.341550,0.374043,0.344090,0.009187,0.328757,0.355186,0.369622,0.010307,0.352359,0.381797
Basketball_v_Basketball_g03_c01,RAT-fusion,10,0.337167,0.000000,0.337167,0.337167,0.317900,0.003945,0.311920,0.326900,0.340500,0.004354,0.333962,0.350514
Basketball_v_Basketball_g03_c01,Random,10,0.103787,0.004047,0.098489,0.111321,0.107896,0.003645,0.101203,0.112722,0.106138,0.004067,0.099088,0.111443
Basketball_v_Basketball_g03_c01,Shifted-RAT+traj,10,0.111977,0.008000,0.102753,0.128689,0.127680,0.006767,0.121385,0.144352,0.129046,0.007704,0.121450,0.147988
Basketball_v_Basketball_g03_c01,Shifted-RAT-fusion,10,0.124063,0.000000,0.124063,0.124063,0.135261,0.001812,0.131683,0.138466,0.137770,0.002117,0.134004,0.141709
Basketball_v_Basketball_g03_c01,VideoMAE-only,10,0.028601,0.000000,0.028601,0.028601,0.040893,0.000657,0.039682,0.042155,0.029337,0.001050,0.027462,0.031344
Basketball_v_Basketball_g04_c01,Motion-reference,10,0.740212,0.000000,0.740212,0.740212,0.670660,0.003048,0.666975,0.676090,0.727263,0.004102,0.722097,0.734187
Basketball_v_Basketball_g04_c01,RAT+traj,10,0.194830,0.011711,0.177258,0.217873,0.183047,0.009719,0.167806,0.197506,0.180882,0.010775,0.164341,0.196812
Basketball_v_Basketball_g04_c01,RAT-fusion,10,0.177698,0.000000,0.177698,0.177698,0.169142,0.002367,0.166314,0.174498,0.165462,0.002715,0.161799,0.171308
Basketball_v_Basketball_g04_c01,Random,10,0.103002,0.004502,0.093063,0.109742,0.110835,0.004605,0.100611,0.116716,0.098842,0.004444,0.088436,0.104470
Basketball_v_Basketball_g04_c01,Shifted-RAT+traj,10,0.140421,0.008109,0.132464,0.160980,0.157693,0.007906,0.146852,0.176552,0.149893,0.009149,0.137550,0.171940
Basketball_v_Basketball_g04_c01,Shifted-RAT-fusion,10,0.154081,0.000000,0.154081,0.154081,0.166485,0.002186,0.163288,0.170901,0.159996,0.002675,0.156043,0.165267
Basketball_v_Basketball_g04_c01,VideoMAE-only,10,0.005519,0.000000,0.005519,0.005519,0.025997,0.000409,0.025375,0.026602,0.006193,0.000485,0.005415,0.006971
Biking_v_Biking_g01_c01,Motion-reference,10,0.819647,0.000000,0.819647,0.819647,0.737849,0.002073,0.734820,0.741777,0.803326,0.002281,0.800236,0.806697
Biking_v_Biking_g01_c01,RAT+traj,10,0.204908,0.011500,0.186836,0.225811,0.202954,0.010366,0.190247,0.221687,0.195785,0.011833,0.180287,0.216596
Biking_v_Biking_g01_c01,RAT-fusion,10,0.295175,0.000000,0.295175,0.295175,0.287313,0.002019,0.284648,0.290602,0.288701,0.001958,0.285952,0.291152
Biking_v_Biking_g01_c01,Random,10,0.103004,0.003375,0.099214,0.108799,0.126244,0.003452,0.120982,0.131110,0.108549,0.003949,0.103811,0.114045
Biking_v_Biking_g01_c01,Shifted-RAT+traj,10,0.088232,0.009600,0.074467,0.104484,0.116438,0.008960,0.103784,0.133211,0.095339,0.010253,0.080714,0.114296
Biking_v_Biking_g01_c01,Shifted-RAT-fusion,10,0.091035,0.000000,0.091035,0.091035,0.117780,0.001733,0.114555,0.120993,0.097517,0.002054,0.093978,0.101244
Biking_v_Biking_g01_c01,VideoMAE-only,10,0.119478,0.000000,0.119478,0.119478,0.146152,0.001283,0.144359,0.148314,0.129187,0.001253,0.127317,0.130900
Biking_v_Biking_g02_c01,Motion-reference,10,0.634583,0.000000,0.634583,0.634583,0.568278,0.002086,0.565908,0.572925,0.629600,0.002322,0.625790,0.633787
Biking_v_Biking_g02_c01,RAT+traj,10,0.230187,0.004799,0.221501,0.236420,0.223164,0.005182,0.216121,0.229715,0.228316,0.005754,0.219908,0.235753
Biking_v_Biking_g02_c01,RAT-fusion,10,0.214874,0.000000,0.214874,0.214874,0.211793,0.001774,0.209109,0.214501,0.214626,0.001893,0.211960,0.217280
Biking_v_Biking_g02_c01,Random,10,0.101685,0.003130,0.097308,0.108509,0.110209,0.002873,0.105314,0.115981,0.097790,0.003241,0.092271,0.104155
Biking_v_Biking_g02_c01,Shifted-RAT+traj,10,0.146383,0.002443,0.141574,0.151097,0.143985,0.003094,0.139078,0.149456,0.135683,0.003186,0.131019,0.141196
Biking_v_Biking_g02_c01,Shifted-RAT-fusion,10,0.134394,0.000000,0.134394,0.134394,0.137702,0.001410,0.135024,0.139675,0.128686,0.001596,0.124995,0.130523
Biking_v_Biking_g02_c01,VideoMAE-only,10,0.043450,0.000000,0.043450,0.043450,0.057802,0.000964,0.056113,0.059667,0.040012,0.001066,0.038322,0.042061
Biking_v_Biking_g03_c01,Motion-reference,10,0.877059,0.000000,0.877059,0.877059,0.844601,0.001489,0.841477,0.846574,0.868800,0.001685,0.865108,0.871073
Biking_v_Biking_g03_c01,RAT+traj,10,0.358182,0.006915,0.347612,0.365927,0.334790,0.008141,0.322766,0.346422,0.336851,0.008412,0.324739,0.349174
Biking_v_Biking_g03_c01,RAT-fusion,10,0.295618,0.000000,0.295618,0.295618,0.282370,0.002287,0.279263,0.286468,0.282783,0.002431,0.279621,0.287090
Biking_v_Biking_g03_c01,Random,10,0.101504,0.004185,0.095029,0.109348,0.109807,0.003654,0.104082,0.115271,0.105794,0.003857,0.099928,0.111521
Biking_v_Biking_g03_c01,Shifted-RAT+traj,10,0.093706,0.002199,0.091329,0.098631,0.097296,0.002621,0.093940,0.103417,0.091548,0.002747,0.088131,0.098006
Biking_v_Biking_g03_c01,Shifted-RAT-fusion,10,0.078010,0.000000,0.078010,0.078010,0.083362,0.000537,0.082283,0.083937,0.077324,0.000626,0.076244,0.078117
