seed,policy,n,cover_mean,cover_std,raw_errshare_mean,raw_errshare_std,inc_errshare_mean,inc_errshare_std
7,Shifted-RAT+traj,20,0.082642,0.032673,0.089170,0.034091,0.080622,0.034468
7,Shifted-RAT-fusion,20,0.083197,0.029295,0.088918,0.029921,0.080473,0.030752
7,VideoMAE-only,20,0.069704,0.088111,0.072965,0.073060,0.065217,0.081931
8,Motion-reference,20,0.731555,0.103249,0.672570,0.105572,0.721423,0.106312
8,RAT+traj,20,0.244204,0.097289,0.231727,0.091657,0.235421,0.093097
8,RAT-fusion,20,0.254993,0.094411,0.241430,0.089589,0.246110,0.090124
8,Random,20,0.102035,0.005912,0.103515,0.009098,0.095285,0.009065
8,Shifted-RAT+traj,20,0.084173,0.033974,0.090138,0.034913,0.081900,0.035022
8,Shifted-RAT-fusion,20,0.083197,0.029295,0.087948,0.030753,0.079772,0.031424
8,VideoMAE-only,20,0.069704,0.088111,0.073022,0.072964,0.065798,0.082285
