experiment,video_id,class,policy,policy_slug,seed,top_k,offset_row,offset_col,sigma,epsilon,delta,cover,raw_errshare,inc_errshare,raw_psnr,incremental_psnr
E2,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Random,random,42,20,,,103.175943963,8.000000000,0.000100000,0.109172686,0.115067695,0.095966815,13.687192500,13.876899514
E2,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Shifted-RAT+traj,shifted_rat_traj_r3_c4,42,20,3,4,103.175943963,8.000000000,0.000100000,0.073452583,0.089831358,0.067482497,14.144854566,14.347946947
E2,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,RAT-fusion,rat_fusion,42,20,,,103.175943963,8.000000000,0.000100000,0.429826732,0.404537877,0.399180124,14.151103484,14.432656607
E2,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Shifted-RAT-fusion,shifted_rat_fusion_r3_c4,42,20,3,4,103.175943963,8.000000000,0.000100000,0.054497078,0.067390110,0.044989280,13.971394085,14.180357271
E2,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,VideoMAE-only,videomae_only,42,20,,,103.175943963,8.000000000,0.000100000,0.000000000,0.020765504,0.000464122,13.203488727,13.407709195
E2,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,RAT+traj,rat_traj,42,30,,,126.364208220,8.000000000,0.000100000,0.421252612,0.388935679,0.379624506,12.424366855,12.592901611
E2,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Motion-reference,motion_reference,42,30,,,126.364208220,8.000000000,0.000100000,0.875888007,0.862052000,0.872546031,12.634953447,12.825903754
E2,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Random,random,42,30,,,126.364208220,8.000000000,0.000100000,0.156680944,0.148220971,0.132862825,12.016970301,12.133461043
E2,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Shifted-RAT+traj,shifted_rat_traj_r3_c4,42,30,3,4,126.364208220,8.000000000,0.000100000,0.165968450,0.165010879,0.150115345,12.354658694,12.475934484
E2,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,RAT-fusion,rat_fusion,42,30,,,126.364208220,8.000000000,0.000100000,0.454623903,0.437779586,0.429970604,12.467995239,12.641482793
E2,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Shifted-RAT-fusion,shifted_rat_fusion_r3_c4,42,30,3,4,126.364208220,8.000000000,0.000100000,0.115884873,0.115809537,0.099260515,12.204558732,12.333506512
E2,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,VideoMAE-only,videomae_only,42,30,,,126.364208220,8.000000000,0.000100000,0.011330965,0.025308793,0.008488469,11.658812545,11.795871995
E2,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,RAT+traj,rat_traj,42,40,,,145.912819263,8.000000000,0.000100000,0.462035572,0.441964054,0.433145869,11.198924115,11.310523707
E2,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Motion-reference,motion_reference,42,40,,,145.912819263,8.000000000,0.000100000,0.897067304,0.889292846,0.893921758,11.416864364,11.536623140
E2,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Random,random,42,40,,,145.912819263,8.000000000,0.000100000,0.205872444,0.189933477,0.177593934,10.767018518,10.846408146
E2,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Shifted-RAT+traj,shifted_rat_traj_r3_c4,42,40,3,4,145.912819263,8.000000000,0.000100000,0.233788294,0.223834737,0.212401789,11.095629498,11.178272694
E2,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,RAT-fusion,rat_fusion,42,40,,,145.912819263,8.000000000,0.000100000,0.506816579,0.482056426,0.473652169,11.220039983,11.346731297
