video_id,metric,control,rat_value,control_value,difference
Biking_v_Biking_g01_c01,RawErr,Random,0.287315000,0.130135000,0.157180000
Biking_v_Biking_g02_c01,RawErr,Random,0.214501000,0.111080000,0.103421000
Biking_v_Biking_g03_c01,RawErr,Random,0.282166000,0.106469000,0.175697000
Biking_v_Biking_g04_c01,RawErr,Random,0.160730000,0.092729000,0.068001000
Diving_v_Diving_g01_c01,RawErr,Random,0.191153000,0.108723000,0.082430000
Diving_v_Diving_g02_c01,RawErr,Random,0.140057000,0.111369000,0.028688000
Diving_v_Diving_g03_c01,RawErr,Random,0.122363000,0.099978000,0.022385000
Diving_v_Diving_g04_c01,RawErr,Random,0.203094000,0.113491000,0.089603000
WalkingWithDog_v_WalkingWithDog_g01_c01,RawErr,Random,0.261959000,0.100336000,0.161623000
WalkingWithDog_v_WalkingWithDog_g02_c01,RawErr,Random,0.244993000,0.081600000,0.163393000
WalkingWithDog_v_WalkingWithDog_g03_c01,RawErr,Random,0.118547000,0.106939000,0.011608000
WalkingWithDog_v_WalkingWithDog_g04_c01,RawErr,Random,0.256201000,0.099312000,0.156889000
BalanceBeam_v_BalanceBeam_g01_c01,RawErr,Shifted fusion,0.208067000,0.094945000,0.113122000
BalanceBeam_v_BalanceBeam_g02_c01,RawErr,Shifted fusion,0.404538000,0.067390000,0.337148000
BalanceBeam_v_BalanceBeam_g03_c01,RawErr,Shifted fusion,0.419823000,0.073091000,0.346732000
BalanceBeam_v_BalanceBeam_g10_c03,RawErr,Shifted fusion,0.395098000,0.117101000,0.277997000
Basketball_v_Basketball_g01_c01,RawErr,Shifted fusion,0.141384000,0.065844000,0.075540000
Basketball_v_Basketball_g02_c01,RawErr,Shifted fusion,0.285585000,0.067231000,0.218354000
Basketball_v_Basketball_g03_c01,RawErr,Shifted fusion,0.311920000,0.131683000,0.180237000
Basketball_v_Basketball_g04_c01,RawErr,Shifted fusion,0.167105000,0.163288000,0.003817000
Biking_v_Biking_g01_c01,RawErr,Shifted fusion,0.287315000,0.120993000,0.166322000
Biking_v_Biking_g02_c01,RawErr,Shifted fusion,0.214501000,0.135669000,0.078832000
Biking_v_Biking_g03_c01,RawErr,Shifted fusion,0.282166000,0.083521000,0.198645000
Biking_v_Biking_g04_c01,RawErr,Shifted fusion,0.160730000,0.102615000,0.058115000
Diving_v_Diving_g01_c01,RawErr,Shifted fusion,0.191153000,0.069303000,0.121850000
Diving_v_Diving_g02_c01,RawErr,Shifted fusion,0.140057000,0.080642000,0.059415000
Diving_v_Diving_g03_c01,RawErr,Shifted fusion,0.122363000,0.078507000,0.043856000
Diving_v_Diving_g04_c01,RawErr,Shifted fusion,0.203094000,0.071196000,0.131898000
WalkingWithDog_v_WalkingWithDog_g01_c01,RawErr,Shifted fusion,0.261959000,0.043177000,0.218782000
WalkingWithDog_v_WalkingWithDog_g02_c01,RawErr,Shifted fusion,0.244993000,0.061464000,0.183529000
WalkingWithDog_v_WalkingWithDog_g03_c01,RawErr,Shifted fusion,0.118547000,0.073116000,0.045431000
WalkingWithDog_v_WalkingWithDog_g04_c01,RawErr,Shifted fusion,0.256201000,0.072319000,0.183882000
BalanceBeam_v_BalanceBeam_g01_c01,RawErr,VideoMAE-only,0.208067000,0.011669000,0.196398000
BalanceBeam_v_BalanceBeam_g02_c01,RawErr,VideoMAE-only,0.404538000,0.020766000,0.383772000
BalanceBeam_v_BalanceBeam_g03_c01,RawErr,VideoMAE-only,0.419823000,0.012955000,0.406868000
BalanceBeam_v_BalanceBeam_g10_c03,RawErr,VideoMAE-only,0.395098000,0.022125000,0.372973000
Basketball_v_Basketball_g01_c01,RawErr,VideoMAE-only,0.141384000,0.028517000,0.112867000
Basketball_v_Basketball_g02_c01,RawErr,VideoMAE-only,0.285585000,0.159247000,0.126338000
